pix_x,pix_y,estimated z,actual z
965,590,73.1,73
1033,591,72.8,73
1015,590,72.9,73
1065,595,72.8,73
1103,592,72.7,73
1173,595,73.3,73
932,594,63.8,63.5
993,595,63.5,63.5
1075,583,63.5,63.5
1123,584,63.4,63.5
1143,579,63.5,63.5
1173,579,63.5,63.5
1198,581,63.6,63.5
985,583,63.6,63.5
947,583,63.6,63.5
1078,588,63.4,63.5
930,592,53.8,53.5
1005,599,53.7,53.5
1068,599,53.5,53.5
1093,598,53.4,53.5
1158,598,53.3,53.5
1178,599,53.3,53.5
1223,594,53.2,53.5
1246,594,53.3,53.5
1286,590,53.5,53.5
1090,588,53.4,53.5
998,577,53.5,53.5
902,610,39.4,39.5
968,610,39.5,39.5
1048,614,39.4,39.5
1073,599,39.4,39.5
1125,599,39.3,39.5
1186,602,39.2,39.5
1233,602,39.2,39.5
1276,602,39.3,39.5
1316,601,39.3,39.5
1376,610,39.4,39.5
1386,610,39.2,39.5
882,606,39.3,39.5
812,649,30.3,30.2
917,642,30.2,30.2
1000,639,30.2,30.2
1050,638,30.3,30.2
1110,638,30.2,30.2
1110,638,30.3,30.2
1228,630,30.2,30.2
1256,632,30.2,30.2
1318,632,30.2,30.2
1364,632,30.2,30.2
1434,632,30.3,30.2
998,580,88.8,88.5
1053,579,88.7,88.5
1075,580,88.7,88.5
1123,584,88.5,88.5
1156,573,88.7,88.5
1168,577,89.4,88.5
1173,577,89.1,88.5
998,570,88.6,88.5
955,573,89.8,88.5
1025,581,88.8,88.5
957,572,99.6,99.5
993,573,99.3,99.5
1065,577,98.6,99.5
1120,581,99,99.5
1123,583,99.8,99.5
1138,572,101.2,99.5
